path,published_risk,modified_risk,risk_change,trend
G->L->H,2.1,2.0,-0.10000000000000009,↓ İyileşen
G->L->H->E,3.3,3.0,-0.2999999999999998,↓ İyileşen
G->L->H->I,3.5,3.3,-0.20000000000000018,↓ İyileşen
G->L->N,2.1,2.0,-0.10000000000000009,↓ İyileşen
G->L->N->E,3.3,3.0,-0.2999999999999998,↓ İyileşen
H->E,3.6,3.1,-0.5,↓ İyileşen
H->E->D,4.3,4.0,-0.2999999999999998,↓ İyileşen
H->E->D->C,5.0,4.7,-0.2999999999999998,↓ İyileşen
H->E->F,4.4,4.2,-0.20000000000000018,↓ İyileşen
H->E->F->G,4.9,4.6,-0.3000000000000007,↓ İyileşen
H->E->N,2.4,2.1,-0.2999999999999998,↓ İyileşen
H->E->N->C,3.6,3.3,-0.30000000000000027,↓ İyileşen
H->E->N->L,1.8,1.6,-0.19999999999999996,↓ İyileşen
H->E->N->M,3.4,3.3,-0.10000000000000009,↓ İyileşen
H->G,3.1,2.9,-0.20000000000000018,↓ İyileşen
H->G->F->E,4.9,4.6,-0.3000000000000007,↓ İyileşen
H->G->L,2.1,2.0,-0.10000000000000009,↓ İyileşen
H->G->L->K,3.1,3.0,-0.10000000000000009,↓ İyileşen
H->I,3.9,3.7,-0.19999999999999973,↓ İyileşen
H->I->J,4.9,4.8,-0.10000000000000053,↓ İyileşen
H->I->J->K,5.2,5.1,-0.10000000000000053,↓ İyileşen
H->L->G,2.1,2.0,-0.10000000000000009,↓ İyileşen
H->L->N->C,1.8,1.7,-0.10000000000000009,↓ İyileşen
H->L->N->E,1.8,1.6,-0.19999999999999996,↓ İyileşen
I->H,3.9,3.7,-0.19999999999999973,↓ İyileşen
I->H->E,5.0,4.6,-0.40000000000000036,↓ İyileşen
I->H->E->D,5.1,4.9,-0.1999999999999993,↓ İyileşen
I->H->E->F,5.2,5.0,-0.20000000000000018,↓ İyileşen
I->H->E->N,3.7,3.4,-0.30000000000000027,↓ İyileşen
I->H->G->L,3.5,3.3,-0.20000000000000018,↓ İyileşen
I->H->L,2.6,2.5,-0.10000000000000009,↓ İyileşen
I->H->L->G,3.5,3.3,-0.20000000000000018,↓ İyileşen
I->H->L->K,3.5,3.4,-0.10000000000000009,↓ İyileşen
I->J->K,6.9,6.8,-0.10000000000000053,↓ İyileşen
I->J->K->C,7.0,6.8,-0.20000000000000018,↓ İyileşen
I->J->K->L,5.2,5.1,-0.10000000000000053,↓ İyileşen
I->M->N->E,5.3,5.1,-0.20000000000000018,↓ İyileşen
J->I->H,4.9,4.8,-0.10000000000000053,↓ İyileşen
J->I->H->E,5.5,5.2,-0.2999999999999998,↓ İyileşen
J->I->H->G,5.2,5.1,-0.10000000000000053,↓ İyileşen
J->I->H->L,3.7,3.6,-0.10000000000000009,↓ İyileşen
J->K->C,6.7,6.6,-0.10000000000000053,↓ İyileşen
K->C,6.6,6.4,-0.1999999999999993,↓ İyileşen
K->C->D->E,6.5,6.2,-0.2999999999999998,↓ İyileşen
K->C->N,4.4,4.3,-0.10000000000000053,↓ İyileşen
K->C->N->E,5.1,4.8,-0.2999999999999998,↓ İyileşen
K->J->I,6.9,6.8,-0.10000000000000053,↓ İyileşen
K->J->I->H,5.2,5.1,-0.10000000000000053,↓ İyileşen
K->L->G->H,3.1,3.0,-0.10000000000000009,↓ İyileşen
K->L->H->E,3.3,3.1,-0.19999999999999973,↓ İyileşen
K->L->H->G,3.1,3.0,-0.10000000000000009,↓ İyileşen
K->L->H->I,3.5,3.4,-0.10000000000000009,↓ İyileşen
K->L->N->E,3.3,3.1,-0.19999999999999973,↓ İyileşen
K->M->N->E,4.9,4.8,-0.10000000000000053,↓ İyileşen
L->G,3.1,2.9,-0.20000000000000018,↓ İyileşen
L->G->F->E,4.9,4.6,-0.3000000000000007,↓ İyileşen
L->G->H,2.1,2.0,-0.10000000000000009,↓ İyileşen
L->G->H->E,3.3,3.0,-0.2999999999999998,↓ İyileşen
L->G->H->I,3.5,3.3,-0.20000000000000018,↓ İyileşen
L->H->E,2.4,2.1,-0.2999999999999998,↓ İyileşen
L->H->E->D,3.2,3.0,-0.20000000000000018,↓ İyileşen
L->H->E->N,1.8,1.6,-0.19999999999999996,↓ İyileşen
L->H->G,2.1,2.0,-0.10000000000000009,↓ İyileşen
L->H->I,2.6,2.5,-0.10000000000000009,↓ İyileşen
L->H->I->J,3.7,3.6,-0.10000000000000009,↓ İyileşen
L->K->C,4.4,4.3,-0.10000000000000053,↓ İyileşen
L->K->C->D,4.7,4.6,-0.10000000000000053,↓ İyileşen
L->K->J->I,5.2,5.1,-0.10000000000000053,↓ İyileşen
L->M->N->E,3.4,3.3,-0.10000000000000009,↓ İyileşen
L->N->C,2.4,2.3,-0.10000000000000009,↓ İyileşen
L->N->C->D,3.2,3.1,-0.10000000000000009,↓ İyileşen
L->N->E,2.4,2.1,-0.2999999999999998,↓ İyileşen
L->N->E->D,3.2,3.0,-0.20000000000000018,↓ İyileşen
L->N->E->H,1.8,1.6,-0.19999999999999996,↓ İyileşen
M->C->D->E,6.6,6.4,-0.1999999999999993,↓ İyileşen
M->I->H->E,5.3,5.1,-0.20000000000000018,↓ İyileşen
M->L->H->E,3.4,3.3,-0.10000000000000009,↓ İyileşen
M->L->N->E,3.4,3.3,-0.10000000000000009,↓ İyileşen
M->N->E->H,3.4,3.3,-0.10000000000000009,↓ İyileşen
N->C,3.6,3.4,-0.20000000000000018,↓ İyileşen
N->C->B->A,5.7,5.6,-0.10000000000000053,↓ İyileşen
N->C->D->E,5.0,4.7,-0.2999999999999998,↓ İyileşen
N->C->K,4.4,4.3,-0.10000000000000053,↓ İyileşen
N->E,3.6,3.1,-0.5,↓ İyileşen
N->E->D,4.3,4.0,-0.2999999999999998,↓ İyileşen
N->E->D->C,5.0,4.7,-0.2999999999999998,↓ İyileşen
N->E->F,4.4,4.2,-0.20000000000000018,↓ İyileşen
N->E->F->G,4.9,4.6,-0.3000000000000007,↓ İyileşen
N->E->H,2.4,2.1,-0.2999999999999998,↓ İyileşen
N->E->H->G,3.3,3.0,-0.2999999999999998,↓ İyileşen
N->E->H->I,3.7,3.4,-0.30000000000000027,↓ İyileşen
N->E->H->L,1.8,1.6,-0.19999999999999996,↓ İyileşen
N->L->G,2.1,2.0,-0.10000000000000009,↓ İyileşen
N->L->H->E,1.8,1.6,-0.19999999999999996,↓ İyileşen
